"Country","Region","Continent"
"afghanistan","South Asia","Asia"
"angola","Sub-Saharan Africa","Africa"
"albania","Europe and Central Asia","Europe"
"united arab emirates","Middle East and North Africa","Asia"
"argentina","Latin America and Caribbean","Americas"
"armenia","Europe and Central Asia","Asia"
"australia","East Asia and Pacific","Oceania"
"azerbaijan","Europe and Central Asia","Asia"
"burundi","Sub-Saharan Africa","Africa"
"belgium","Europe and Central Asia","Europe"
"benin","Sub-Saharan Africa","Africa"
"burkina faso","Sub-Saharan Africa","Africa"
"bangladesh","South Asia","Asia"
"bulgaria","Europe and Central Asia","Europe"
"bahrain","Middle East and North Africa","Asia"
"bosnia and herzegovina","Europe and Central Asia","Europe"
"belarus","Europe and Central Asia","Europe"
"belize","Latin America and Caribbean","Americas"
"bolivia","Latin America and Caribbean","Americas"
"brazil","Latin America and Caribbean","Americas"
"barbados","Latin America and Caribbean","Americas"
"bhutan","South Asia","Asia"
"botswana","Sub-Saharan Africa","Africa"
"canada","North America","Americas"
"switzerland","Europe and Central Asia","Europe"
"chile","Latin America and Caribbean","Americas"
"china","East Asia and Pacific","Asia"
"cameroon","Sub-Saharan Africa","Africa"
"colombia","Latin America and Caribbean","Americas"
"comoros","Sub-Saharan Africa","Africa"
"costa rica","Latin America and Caribbean","Americas"
"cuba","Latin America and Caribbean","Americas"
"cyprus","Europe and Central Asia","Asia"
"czech republic","Europe and Central Asia","Europe"
"germany","Europe and Central Asia","Europe"
"djibouti","Middle East and North Africa","Africa"
"denmark","Europe and Central Asia","Europe"
"dominican republic","Latin America and Caribbean","Americas"
"algeria","Middle East and North Africa","Africa"
"ecuador","Latin America and Caribbean","Americas"
"spain","Europe and Central Asia","Europe"
"estonia","Europe and Central Asia","Europe"
"ethiopia","Sub-Saharan Africa","Africa"
"finland","Europe and Central Asia","Europe"
"fiji","East Asia and Pacific","Oceania"
"france","Europe and Central Asia","Europe"
"gabon","Sub-Saharan Africa","Africa"
"united kingdom","Europe and Central Asia","Europe"
"georgia","Europe and Central Asia","Asia"
"ghana","Sub-Saharan Africa","Africa"
"guinea","Sub-Saharan Africa","Africa"
"guinea-bissau","Sub-Saharan Africa","Africa"
"equatorial guinea","Sub-Saharan Africa","Africa"
"greece","Europe and Central Asia","Europe"
"guatemala","Latin America and Caribbean","Americas"
"guyana","Latin America and Caribbean","Americas"
"honduras","Latin America and Caribbean","Americas"
"croatia","Europe and Central Asia","Europe"
"haiti","Latin America and Caribbean","Americas"
"hungary","Europe and Central Asia","Europe"
"indonesia","East Asia and Pacific","Asia"
"india","South Asia","Asia"
